candidate_id,mpid,full_name,photo_url,birthdate,gender,ethnicity,religion,education,occupation,ward_village,house,state,constituency_name,constituency_number,ST_PCODE,DT_PCODE,TS_PCODE,AM_PCODE,party,independent_logo,father,father_nationality,father_religion,mother,mother_nationality,mother_religion,votes,election
3462f649362cae95f8cfb5b13a1a7055,,ဦးဇိုပဲန်း (Pu Zo Peng),https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_PuZoPan.PNG,2/20/1959,M,ချင်း,ခရစ်ယာန်,B.Sc (Maths),တောင်သူ,အမှတ်စဉ် (၂),အမျိုးသားလွှတ်တော်,ချင်း,ချင်း,3,MMR004,,,MMR004HLA003,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,,တ.က.က ဦးဆန်ငန်း (ကွယ်လွန်) (Pu Sang Ngan),ချင်း,ခရစ်ယာန်,ဒေါ်မာကေး (ကွယ်လွန်) (Pi Ma Ke),ချင်း,ခရစ်ယာန်,-1,2017ByElection
473434fcf90aa219f32dc2c3aa1c9788,,ဦးဘွဲခိန်း (Pu Bawi Khing),https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_PuBawiKhing.PNG,10/14/1946,M,ချင်း,ခရစ်ယာန်,၁၀တန်းအောင်၊ အဝေးသင် (B.Th.MA),စိုက်ပျိုးရေ:မြို့နယ်မန်နေဂျာ (ငြိမ်း),အမှတ်စဉ် (၂)ရပ်၊ထန်တလန်မြို့,အမျိုးသားလွှတ်တော်,ချင်း,ချင်း,3,MMR004,,,MMR004HLA003,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,ဦးနွှမ်းဟရန် (Pu Hnom Hrang) (ကွယ်လွန်),ချင်း,ခရစ်ယာန်,ဒေါ်ပါရ်ကီလ် (Pi Par Kil)(ကွယ်လွန်),ချင်း,ခရစ်ယာန်,9242,2017ByElection
c7eba53c08ef6ce4ea16310390393da8,,ဒေါ်ဇာတလဲမ် (Pi Za Tlem),https://storage.cloud.google.com/staticassets/candidate-photos/2017/AMT_PiZaTlem.PNG,2/14/1968,F,ချင်း,ခရစ်ယာန်,ဘီအေ(သမိုင်း),ပြည်သူ့လွှတ်တော်ကိုယ်စားလှယ်(ငြိမ်း),အမှတ်(၂)ရပ်ကွက်၊ထန်တလန်မြို့,အမျိုးသားလွှတ်တော်,ချင်း,ချင်း,3,MMR004,,,MMR004HLA003,ချင်းအမျိုးသားဒီမိုကရက်တစ်ပါတီ,,ဦးဟာရ်မန် (ကွယ်လွန်),ချင်း,ခရစ်ယာန်,ဒေါ်ငွန်တီာလ် (ကွယ်လွန်),ချင်း,ခရစ်ယာန်,-1,2017ByElection
2b8e2bdf0bbdae7d131191f66831bd6d,,ဦးစိန်ထွန်း,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_USeinHtun.PNG,5/7/1966,M,ဗမာ,ဗုဒ္ဓ,"B.A (Philo),D.E.L.T,",တောင်သူ,၇၆၁/ဝမ်းတွင်းမြို့နယ်၊ဒါးလှအုပ်စု၊သစ်ပလွေကန်ရွာ,အမျိုးသားလွှတ်တော်,ပဲခူး,ပဲခူး,4,MMR007,,,MMR007HLA004,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,,ဦးဂျပိုး (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်သောင်းရင်,ဗမာ,ဗုဒ္ဓ,-1,2017ByElection
e9e4b46e4ea50d6108ece615f7652903,,ဦးမင်းသူ,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UMinThu.PNG,10/28/1976,M,ဗမာ,ဗုဒ္ဓ,ဉပဒေပညာစတုတ္ထနှစ်,မှိုစိုက်ပျိုးရေးနှင့်ခြံလုပ်ငန်း,-,အမျိုးသားလွှတ်တော်,ပဲခူး,ပဲခူး,4,MMR007,,,MMR007HLA004,ပြည်ထောင်စုလယ်သမားအလုပ်သမားအင်အားစုပါတီ,,ဦ:လှမြင့် (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်သန်းမြင့် (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,-1,2017ByElection
a6142f255d9d844ae57d8e0be99cd919,,ဦးဌေးနိုင်,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UHtayNaing.PNG,12/4/1958,M,ဗမာ,ဗုဒ္ဓ,သိပ္ပံဘွဲ့(သင်္ချာ)၊မဟာဝိဇ္ဇာ(ကာကွယ်ရေး),စစ်မှုထမ်း (အငြိမ်းစား),ပြွန်တန်ဆာ၊မြို့မ (၂)ရပ်ကွက်,အမျိုးသားလွှတ်တော်,ပဲခူး,ပဲခူး,4,MMR007,,,MMR007HLA004,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,,ဦးအုန်းမောင် (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်အင်မေ,ဗမာ,ဗုဒ္ဓ,-1,2017ByElection
9c035111ca24e1376ad292f41e606040,,ဦးအောင်ကြည်ဝင်း,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UAungKyiWin.PNG,4/4/1949,M,ကရင်,ဗုဒ္ဓ,H.S.F ဟိုက်စကူးဖိုင်နယ်အောင်,ပညာရေး (ငြိမ်း)၊စားသောက်ဆိုင်,-,အမျိုးသားလွှတ်တော်,ပဲခူး,ပဲခူး,4,MMR007,,,MMR007HLA004,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,,ဦးထွန်းရင်(ကွယ်လွန်),ကရင်,ဗုဒ္ဓ,ဒေါ်အေးခင် (ကွယ်လွန်),ကရင်,ဗုဒ္ဓ,-1,2017ByElection
4208f41c2735eec6f4b4748daa7f6a03,,ဒေါက်တာလှမိုး,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_DrHlaMoe.PNG,5/27/1964,F,ဗမာ,ဗုဒ္ဓ,"M.B,B.S",ကိုယ်ပိုင်ဆေးခန်း,သရက်ကုန်းကျေးရွာ,အမျိုးသားလွှတ်တော်,ပဲခူး,ပဲခူး,4,MMR007,,,MMR007HLA004,အမျိုးသားတိုးတက်ရေးပါတီ,,ဦးညွှန့်အောင်,ဗမာ,ဗုဒ္ဓ,ဒေါ်ရှင်,ဗမာ,ဗုဒ္ဓ,-1,2017ByElection
1366914ce4bf24d5ff5730348829ccc7,,ဒေါ်စန်းစန်းမြင့်,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_DawSanSanMyint.PNG,3/6/1951,F,ဗမာ,ဗုဒ္ဓ,LL.B (ဥပဒေဘွဲ့),တရားလွှတ်တော်ရှေ့နေ,မြို့မ(၅)ရပ်ကွက်,အမျိုးသားလွှတ်တော်,ပဲခူး,ပဲခူး,4,MMR007,,,MMR007HLA004,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,ဦးစံအုန်း (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်တင်ကြည်,ဗမာ,ဗုဒ္ဓ,71042,2017ByElection
b74d77ddb1434b95a21a28e72a21fbbc,,ဦးခင်မောင်ရည်(ခ)ခိုင်မောင်ရည်,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UKhinMaungYee(Ka)KhineMaungYee.PNG,10/21/1969,M,ဗမာ,ဗုဒ္ဓ,"Higher Diploma in Business-VUC,Japanese.",ဂျပန်ဘာသာသင်းတန်းကျောင်းအုပ်,ဂဠုန်ရပ်,အမျိုးသားလွှတ်တော်,ရန်ကုန်,ရန်ကုန်,6,MMR013,,,MMR013HLA006,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,,ဦးဘဌေး(ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,ဒေါ်တင်တင် (ကွယ်လွန်),ဗမာ,ဗုဒ္ဓ,-1,2017ByElection
